marca,nome,preco_antigo_reais,preco_antigo_centavos,preco_novo_reais,preco_novo_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(241)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7829)
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7829)
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,69,28,18,,
FILA,Tênis Fila Racer Comet Corrida Confortável Envio Imediato,349,99,283,49,,
FILA,Tenis Masculino Esportivo Caminhada Visual Moderno Envio Ja,349,99,283,49,,
FILA,Tênis Fila Racer Comet Preto Azul E Coral - Masculino,349,99,283,49,,
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(645)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(667)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5531)
FILA,Tênis Fila Racer Comet Masculino Corrida Macio Leve Conforto,349,99,283,49,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Titanium,493,99,49,40,,
OLYMPIKUS,Tênis Running Masculino Olympikus Titanium Cinza,493,99,49,40,,
NIKE,Tênis Nike Air Max Sc Masculino,389,99,39,,4.8,(431)
OLYMPIKUS,Tênis Running Masculino Olympikus Original Pride 3,493,99,49,40,,
OLYMPIKUS,Tênis Running Masculino Olympikus Hybrid Preto,444,58,44,46,,
OLYMPIKUS,Tênis Running Masculino Treino Olympikus Diffuse 5,370,46,37,05,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9527)
NIKE,Tênis Nike Revolution 7 Masculino,319,99,31,02,4.7,(244)
OLYMPIKUS,Tênis Running Masculino Olympikus Treino Asfalto,345,75,34,58,,
OLYMPIKUS,Tênis Running Masculino Olympikus Perfect 4 Preto,345,75,34,58,,
OLYMPIKUS,Tênis Running Masculino Olympikus Evasense Dynamic,345,75,34,58,,
OLYMPIKUS,Tênis Running Masculino Olympikus Dynamic Preto E Laranja,345,75,34,58,,
OLYMPIKUS,Tênis Running Masculino Estilo 2 Treino Olympikus,321,05,32,11,,
FILA,Novo Tênis Fila Racer Comet Esportivo Para Corrida Running,349,99,258,99,,
FILA,Tênis De Corrida Preto Fila Lançamento Macio E Leve,349,99,258,99,,
FILA,Tênis Fila Masculino Racer Comet Corrida Caminhada Conforto,349,99,258,99,,
OLYMPIKUS,Tênis Running Masculino Olympikus Urano 2 Preto E Vermelho,284,56,31,,,
OLYMPIKUS,Tênis Running Masculino Olympikus Evasense Venum,283,99,31,55,,
OLYMPIKUS,Tênis Running Masculino Olympikus Evasense Poseidon,246,94,30,87,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Volcan,246,94,30,87,,
FILA,Tênis Masculino De Corrida Preto Esportivo Maratona Macio,349,99,258,99,,
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,90,48,47,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,158,99,4.8,(1455)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,145,99,4.8,(942)
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,99,358,99,4.7,(9)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(4680)
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,99,48,47,5.0,(4)
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,99,208,99,4.8,(304)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5531)
UNDER ARMOUR,Under Armour Tribase Cross Masculino Adultos,499,99,349,99,4.7,(378)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,259,99,4.7,(37)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1587)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,67,22,,4.7,(2041)
FILA,Fila Magnus Masculino Adultos F01AT00021,349,60,311,21,4.7,(508)
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(241)
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,119,90,113,90,4.4,(299)
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,183,38,157,30,4.8,(399)
FILA,Fila KR6 Masculino Adultos,599,40,359,84,4.7,(166)
BF SHOES,Tênis Branco Lançamento Original Confortável,99,88,75,90,4.6,(7144)
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,259,99,194,99,4.8,(212)
